"collection_no","lng","lat"
22995,14.333333,47.633331
22995,14.333333,47.633331
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23002,29.5,-29.5
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23003,29.049999,-28.566668
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23004,29,-30.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23015,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23069,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23070,29.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23075,27.5,-29.5
23002,29.5,-29.5
23070,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
23076,29.5,-29.5
